time,open,high,low,close,PlotCandle (Ouverture),PlotCandle (Haut,PlotCandle (Bas),PlotCandle (Fermer),Volume
1763627400,143.443,143.653,143.2,143.453,NaN,143.653,143.2,143.453,15367.1
1763628300,143.453,143.634,143.125,143.301,NaN,143.634,143.125,143.301,9383.3
1763629200,143.301,143.317,142.767,142.808,NaN,143.317,142.767,142.808,31811.9
1763630100,142.808,142.901,141.834,142.062,NaN,142.901,141.834,142.062,127987.8
1763631000,142.062,142.395,141.834,141.851,NaN,142.395,141.834,141.851,30633.8
1763631900,141.851,142.034,141.3,141.981,NaN,142.034,141.3,141.981,89446
1763632800,141.981,142.172,141,141.305,NaN,142.172,141,141.305,40903.8
1763633700,141.305,142.152,141.156,141.997,NaN,142.152,141.156,141.997,36132.2
1763634600,141.997,142.22,141.563,141.798,NaN,142.22,141.563,141.798,26396.3
1763635500,141.798,142.293,141.722,142.213,NaN,142.293,141.722,142.213,11925.3
1763636400,142.213,142.468,141.993,142.068,NaN,142.468,141.993,142.068,12970.4
1763637300,142.068,142.209,141.653,141.706,NaN,142.209,141.653,141.706,20468
1763638200,141.706,142.089,141.46,141.968,NaN,142.089,141.46,141.968,19604.7
1763639100,141.968,142.21,141.773,142.085,NaN,142.21,141.773,142.085,17962.1
1763640000,142.085,142.192,141.441,141.485,NaN,142.192,141.441,141.485,15715.3
1763640900,141.485,142.054,141.414,141.786,NaN,142.054,141.414,141.786,15194.6
1763641800,141.786,142.332,141.327,141.459,NaN,142.332,141.327,141.459,29025.9
1763642700,141.459,142.213,141.388,141.979,NaN,142.213,141.388,141.979,25675.9
1763643600,141.979,142.364,141.646,142.343,NaN,142.364,141.646,142.343,17649.7
1763644500,142.343,142.358,141.354,141.811,NaN,142.358,141.354,141.811,37236.8
1763645400,141.811,143.386,141.121,141.157,NaN,143.386,141.121,141.157,223449.4
1763646300,141.157,141.894,140.457,140.672,NaN,141.894,140.457,140.672,94763.2
1763647200,140.672,140.682,138.871,139.228,NaN,140.682,138.871,139.228,175792.7
1763648100,139.228,141.089,138.975,140.965,NaN,141.089,138.975,140.965,99370.5
1763649000,140.965,141.496,139.868,140.477,NaN,141.496,139.868,140.477,68544.9
1763649900,140.477,141.186,139.959,140.875,NaN,141.186,139.959,140.875,38736.6
1763650800,140.875,141.036,139.182,139.504,NaN,141.036,139.182,139.504,70157.6
1763651700,139.504,140.347,138.629,140.159,NaN,140.347,138.629,140.159,50208
1763652600,140.159,140.381,139.359,140.145,NaN,140.381,139.359,140.145,30775.3
1763653500,140.145,140.166,138.224,138.484,NaN,140.166,138.224,138.484,72690.6
1763654400,138.484,138.687,133.51,134.1,NaN,138.687,133.51,134.1,512565
1763655300,134.1,134.579,132.389,133.273,NaN,134.579,132.389,133.273,343666.5
1763656200,133.273,133.682,131.923,132.012,NaN,133.682,131.923,132.012,130371
1763657100,132.012,132.596,131.455,132.585,NaN,132.596,131.455,132.585,146794.9
1763658000,132.585,132.979,131.048,131.876,NaN,132.979,131.048,131.876,186389.4
1763658900,131.876,132.455,131.072,131.979,NaN,132.455,131.072,131.979,86208.6
1763659800,131.979,133.072,131.564,132.192,NaN,133.072,131.564,132.192,91152.4
1763660700,132.192,132.845,131.719,132.747,NaN,132.845,131.719,132.747,79151.8
1763661600,132.747,134.387,131.938,134.283,NaN,134.387,131.938,134.283,97531.9
1763662500,134.283,134.553,133.267,133.428,NaN,134.553,133.267,133.428,113612.2
1763663400,133.428,133.998,132.746,132.761,NaN,133.998,132.746,132.761,62035.2
1763664300,132.761,133.1,132.342,132.515,NaN,133.1,132.342,132.515,63397.3
